Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00203.wav	H2F119n1M00203.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00204.wav	H2F119n1M00204.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00206.wav	H2F119n1M00206.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00207.wav	H2F119n1M00207.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00209.wav	H2F119n1M00209.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00210.wav	H2F119n1M00210.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00211.wav	H2F119n1M00211.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00212.wav	H2F119n1M00212.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00213.wav	H2F119n1M00213.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00214.wav	H2F119n1M00214.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00215.wav	H2F119n1M00215.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00218.wav	H2F119n1M00218.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00219.wav	H2F119n1M00219.wav		1													16.10						H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00220.wav	H2F119n1M00220.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00221.wav	H2F119n1M00221.wav															8.87						H2F119n1	H2F119	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00222.wav	H2F119n1M00222.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00223.wav	H2F119n1M00223.wav		1													10.06						H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00224.wav	H2F119n1M00224.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00225.wav	H2F119n1M00225.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F119:H2F119n1:H2F119n1M00226.wav	H2F119n1M00226.wav																					H2F119n1	H2F119	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
