Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01010.wav	H1NF111n3M01010.wav	1														12.86						Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01011-Myca.wav	H1NF111n3M01011-Myca.wav	1		Myca	Myca	6	7	Myca	0.9906			49.70	0.62	2.50	0.30	8.51	Myca	Pahe				Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01014.wav	H1NF111n3M01014.wav	1														9.22						Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01015-Myca.wav	H1NF111n3M01015-Myca.wav	1		Myca	Myca	6	6	Myca	0.9933			50.27	1.22	2.45	0.32	7.93	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01016.wav	H1NF111n3M01016.wav	1				1	1					48.50		2.09		12.98	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01017.wav	H1NF111n3M01017.wav	1														8.47						Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01018.WAV	H1NF111n3M01018.wav	1				1	2			Myca/Myyu	0.719/0.151	50.47		2.73		4.48	Myyu	Myca				Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01019-Myca.wav	H1NF111n3M01019-Myca.wav	1		Myca	Myca	2	2	Myca	0.9884			49.03	1.20	2.67	0.01	10.07	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01020-Myca.wav	H1NF111n3M01020-Myca.wav	1		Myca	Myca	7	7	Myca	0.9867			49.89	0.53	2.26	0.22	5.68	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01021-Myca.wav	H1NF111n3M01021-Myca.wav	1		Myca	Myca	2	2	Myca	0.9737			50.55	0.90	2.28	0.16	10.02	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01022-Myca.wav	H1NF111n3M01022-Myca.wav	1		Myca	Myca	7	7	Myca	0.9941			51.37	1.72	2.84	0.19	6.91	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01023.wav	H1NF111n3M01023.wav	1														10.62	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01025.wav	H1NF111n3M01025.wav	1														13.12						Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01027-Myca.wav	H1NF111n3M01027-Myca.wav	1		Myca	Myca	3	3	Myca	0.9915			51.89	1.99	2.07	0.06	8.89	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01028.wav	H1NF111n3M01028.wav	1														23.26						Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01029-Myca.wav	H1NF111n3M01029-Myca.wav	1		Myca	Myca	4	4	Myca	0.9686			48.70	0.77	2.47	0.23	7.26	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M01031-Myca.wav	H1NF111n3M01031-Myca.wav	1		Myca	Myca	3	3	Myca	0.9731			49.27	0.56	2.52	0.36	8.67	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
